1no,2no,3no,4no,5no,total
381344.4381,780043.7048,52610.51429,3642983.41,25743170.26,30600152.32
389684.4667,796835.5333,53680.2,3721402.067,26297171.6,31258773.87
398024.4952,813627.3619,54749.88571,3799820.724,26851172.94,31917395.41
406364.5238,830419.1905,55819.57143,3878239.381,27405174.29,32576016.95
414704.5524,847211.019,56889.25714,3956658.038,27959175.63,33234638.5
423044.581,864002.8476,57958.94286,4035076.695,28513176.97,33893260.04
431384.6095,880794.6762,59028.62857,4113495.352,29067178.31,34551881.58
439724.6381,897586.5048,60098.31429,4191914.01,29621179.66,35210503.12
448064.6667,914378.3333,61168,4270332.667,30175181,35869124.67
456404.6952,931170.1619,62237.68571,4348751.324,30729182.34,36527746.21
464744.7238,947961.9905,63307.37143,4427169.981,31283183.69,37186367.75
473084.7524,964753.819,64377.05714,4505588.638,31837185.03,37844989.3
481424.781,981545.6476,65446.74286,4584007.295,32391186.37,38503610.84
489764.8095,998337.4762,66516.42857,4662425.952,32945187.71,39162232.38
498104.8381,1015129.305,67586.11429,4740844.61,33499189.06,39820853.92
506444.8667,1031921.133,68655.8,4819263.267,34053190.4,40479475.47
514784.8952,1048712.962,69725.48571,4897681.924,34607191.74,41138097.01
523124.9238,1065504.79,70795.17143,4976100.581,35161193.09,41796718.55
531464.9524,1082296.619,71864.85714,5054519.238,35715194.43,42455340.1
539804.981,1099088.448,72934.54286,5132937.895,36269195.77,43113961.64
548145.0095,1115880.276,74004.22857,5211356.552,36823197.11,43772583.18
556485.0381,1132672.105,75073.91429,5289775.21,37377198.46,44431204.72
564825.0667,1149463.933,76143.6,5368193.867,37931199.8,45089826.27
573165.0952,1166255.762,77213.28571,5446612.524,38485201.14,45748447.81
581505.1238,1183047.59,78282.97143,5525031.181,39039202.49,46407069.35
589845.1524,1199839.419,79352.65714,5603449.838,39593203.83,47065690.9
598185.181,1216631.248,80422.34286,5681868.495,40147205.17,47724312.44
606525.2095,1233423.076,81492.02857,5760287.152,40701206.51,48382933.98
614865.2381,1250214.905,82561.71429,5838705.81,41255207.86,49041555.52
623205.2667,1267006.733,83631.4,5917124.467,41809209.2,49700177.07
631545.2952,1283798.562,84701.08571,5995543.124,42363210.54,50358798.61
639885.3238,1300590.39,85770.77143,6073961.781,42917211.89,51017420.15
648225.3524,1317382.219,86840.45714,6152380.438,43471213.23,51676041.7
656565.381,1334174.048,87910.14286,6230799.095,44025214.57,52334663.24
664905.4095,1350965.876,88979.82857,6309217.752,44579215.91,52993284.78
673245.4381,1367757.705,90049.51429,6387636.41,45133217.26,53651906.32
681585.4667,1384549.533,91119.2,6466055.067,45687218.6,54310527.87
689925.4952,1401341.362,92188.88571,6544473.724,46241219.94,54969149.41
698265.5238,1418133.19,93258.57143,6622892.381,46795221.29,55627770.95
706605.5524,1434925.019,94328.25714,6701311.038,47349222.63,56286392.5
714945.581,1451716.848,95397.94286,6779729.695,47903223.97,56945014.04
723285.6095,1468508.676,96467.62857,6858148.352,48457225.31,57603635.58
731625.6381,1485300.505,97537.31429,6936567.01,49011226.66,58262257.12
739965.6667,1502092.333,98607,7014985.667,49565228,58920878.67
748305.6952,1518884.162,99676.68571,7093404.324,50119229.34,59579500.21
756645.7238,1535675.99,100746.3714,7171822.981,50673230.69,60238121.75
764985.7524,1552467.819,101816.0571,7250241.638,51227232.03,60896743.3
773325.781,1569259.648,102885.7429,7328660.295,51781233.37,61555364.84
781665.8095,1586051.476,103955.4286,7407078.952,52335234.71,62213986.38
790005.8381,1602843.305,105025.1143,7485497.61,52889236.06,62872607.92
798345.8667,1619635.133,106094.8,7563916.267,53443237.4,63531229.47
806685.8952,1636426.962,107164.4857,7642334.924,53997238.74,64189851.01
815025.9238,1653218.79,108234.1714,7720753.581,54551240.09,64848472.55
823365.9524,1670010.619,109303.8571,7799172.238,55105241.43,65507094.1
831705.981,1686802.448,110373.5429,7877590.895,55659242.77,66165715.64
840046.0095,1703594.276,111443.2286,7956009.552,56213244.11,66824337.18
848386.0381,1720386.105,112512.9143,8034428.21,56767245.46,67482958.72
856726.0667,1737177.933,113582.6,8112846.867,57321246.8,68141580.27
865066.0952,1753969.762,114652.2857,8191265.524,57875248.14,68800201.81
873406.1238,1770761.59,115721.9714,8269684.181,58429249.49,69458823.35
881746.1524,1787553.419,116791.6571,8348102.838,58983250.83,70117444.9
890086.181,1804345.248,117861.3429,8426521.495,59537252.17,70776066.44
898426.2095,1821137.076,118931.0286,8504940.152,60091253.51,71434687.98
906766.2381,1837928.905,120000.7143,8583358.81,60645254.86,72093309.52
915106.2667,1854720.733,121070.4,8661777.467,61199256.2,72751931.07
923446.2952,1871512.562,122140.0857,8740196.124,61753257.54,73410552.61
931786.3238,1888304.39,123209.7714,8818614.781,62307258.89,74069174.15
940126.3524,1905096.219,124279.4571,8897033.438,62861260.23,74727795.7
948466.381,1921888.048,125349.1429,8975452.095,63415261.57,75386417.24
956806.4095,1938679.876,126418.8286,9053870.752,63969262.91,76045038.78
965146.4381,1955471.705,127488.5143,9132289.41,64523264.26,76703660.32
973486.4667,1972263.533,128558.2,9210708.067,65077265.6,77362281.87
981826.4952,1989055.362,129627.8857,9289126.724,65631266.94,78020903.41
990166.5238,2005847.19,130697.5714,9367545.381,66185268.29,78679524.95
998506.5524,2022639.019,131767.2571,9445964.038,66739269.63,79338146.5
1006846.581,2039430.848,132836.9429,9524382.695,67293270.97,79996768.04
1015186.61,2056222.676,133906.6286,9602801.352,67847272.31,80655389.58
1023526.638,2073014.505,134976.3143,9681220.01,68401273.66,81314011.12
1031866.667,2089806.333,136046,9759638.667,68955275,81972632.67
1040206.695,2106598.162,137115.6857,9838057.324,69509276.34,82631254.21
1048546.724,2123389.99,138185.3714,9916475.981,70063277.69,83289875.75
1056886.752,2140181.819,139255.0571,9994894.638,70617279.03,83948497.3
1065226.781,2156973.648,140324.7429,10073313.3,71171280.37,84607118.84
1073566.81,2173765.476,141394.4286,10151731.95,71725281.71,85265740.38
1081906.838,2190557.305,142464.1143,10230150.61,72279283.06,85924361.92
1090246.867,2207349.133,143533.8,10308569.27,72833284.4,86582983.47
1098586.895,2224140.962,144603.4857,10386987.92,73387285.74,87241605.01
1106926.924,2240932.79,145673.1714,10465406.58,73941287.09,87900226.55
1115266.952,2257724.619,146742.8571,10543825.24,74495288.43,88558848.1
1123606.981,2274516.448,147812.5429,10622243.9,75049289.77,89217469.64
1131947.01,2291308.276,148882.2286,10700662.55,75603291.11,89876091.18
1140287.038,2308100.105,149951.9143,10779081.21,76157292.46,90534712.72
1148627.067,2324891.933,151021.6,10857499.87,76711293.8,91193334.27
1156967.095,2341683.762,152091.2857,10935918.52,77265295.14,91851955.81
1165307.124,2358475.59,153160.9714,11014337.18,77819296.49,92510577.35
1173647.152,2375267.419,154230.6571,11092755.84,78373297.83,93169198.9
1181987.181,2392059.248,155300.3429,11171174.5,78927299.17,93827820.44
1190327.21,2408851.076,156370.0286,11249593.15,79481300.51,94486441.98
1198667.238,2425642.905,157439.7143,11328011.81,80035301.86,95145063.52
1207007.267,2442434.733,158509.4,11406430.47,80589303.2,95803685.07
1215347.295,2459226.562,159579.0857,11484849.12,81143304.54,96462306.61
1223687.324,2476018.39,160648.7714,11563267.78,81697305.89,97120928.15
1232027.352,2492810.219,161718.4571,11641686.44,82251307.23,97779549.7
1240367.381,2509602.048,162788.1429,11720105.1,82805308.57,98438171.24
1248707.41,2526393.876,163857.8286,11798523.75,83359309.91,99096792.78
1257047.438,2543185.705,164927.5143,11876942.41,83913311.26,99755414.32
1265387.467,2559977.533,165997.2,11955361.07,84467312.6,100414035.9
1273727.495,2576769.362,167066.8857,12033779.72,85021313.94,101072657.4
1282067.524,2593561.19,168136.5714,12112198.38,85575315.29,101731279
1290407.552,2610353.019,169206.2571,12190617.04,86129316.63,102389900.5
1298747.581,2627144.848,170275.9429,12269035.7,86683317.97,103048522
1307087.61,2643936.676,171345.6286,12347454.35,87237319.31,103707143.6
1315427.638,2660728.505,172415.3143,12425873.01,87791320.66,104365765.1
1323767.667,2677520.333,173485,12504291.67,88345322,105024386.7
1332107.695,2694312.162,174554.6857,12582710.32,88899323.34,105683008.2
1340447.724,2711103.99,175624.3714,12661128.98,89453324.69,106341629.8
1348787.752,2727895.819,176694.0571,12739547.64,90007326.03,107000251.3
1357127.781,2744687.648,177763.7429,12817966.3,90561327.37,107658872.8
1365467.81,2761479.476,178833.4286,12896384.95,91115328.71,108317494.4
1373807.838,2778271.305,179903.1143,12974803.61,91669330.06,108976115.9
1382147.867,2795063.133,180972.8,13053222.27,92223331.4,109634737.5
1390487.895,2811854.962,182042.4857,13131640.92,92777332.74,110293359
1398827.924,2828646.79,183112.1714,13210059.58,93331334.09,110951980.6
1407167.952,2845438.619,184181.8571,13288478.24,93885335.43,111610602.1
1415507.981,2862230.448,185251.5429,13366896.9,94439336.77,112269223.6
1423848.01,2879022.276,186321.2286,13445315.55,94993338.11,112927845.2
1432188.038,2895814.105,187390.9143,13523734.21,95547339.46,113586466.7
1440528.067,2912605.933,188460.6,13602152.87,96101340.8,114245088.3
1448868.095,2929397.762,189530.2857,13680571.52,96655342.14,114903709.8
1457208.124,2946189.59,190599.9714,13758990.18,97209343.49,115562331.4
1465548.152,2962981.419,191669.6571,13837408.84,97763344.83,116220952.9
1473888.181,2979773.248,192739.3429,13915827.5,98317346.17,116879574.4
1482228.21,2996565.076,193809.0286,13994246.15,98871347.51,117538196
1490568.238,3013356.905,194878.7143,14072664.81,99425348.86,118196817.5
1498908.267,3030148.733,195948.4,14151083.47,99979350.2,118855439.1
1507248.295,3046940.562,197018.0857,14229502.12,100533351.5,119514060.6
1515588.324,3063732.39,198087.7714,14307920.78,101087352.9,120172682.2
1523928.352,3080524.219,199157.4571,14386339.44,101641354.2,120831303.7
1532268.381,3097316.048,200227.1429,14464758.1,102195355.6,121489925.2
1540608.41,3114107.876,201296.8286,14543176.75,102749356.9,122148546.8
1548948.438,3130899.705,202366.5143,14621595.41,103303358.3,122807168.3
1557288.467,3147691.533,203436.2,14700014.07,103857359.6,123465789.9
1565628.495,3164483.362,204505.8857,14778432.72,104411360.9,124124411.4
1573968.524,3181275.19,205575.5714,14856851.38,104965362.3,124783033
1582308.552,3198067.019,206645.2571,14935270.04,105519363.6,125441654.5
1590648.581,3214858.848,207714.9429,15013688.7,106073365,126100276
1598988.61,3231650.676,208784.6286,15092107.35,106627366.3,126758897.6
1607328.638,3248442.505,209854.3143,15170526.01,107181367.7,127417519.1
1615668.667,3265234.333,210924,15248944.67,107735369,128076140.7
1624008.695,3282026.162,211993.6857,15327363.32,108289370.3,128734762.2
1632348.724,3298817.99,213063.3714,15405781.98,108843371.7,129393383.8
1640688.752,3315609.819,214133.0571,15484200.64,109397373,130052005.3
1649028.781,3332401.648,215202.7429,15562619.3,109951374.4,130710626.8
1657368.81,3349193.476,216272.4286,15641037.95,110505375.7,131369248.4
1665708.838,3365985.305,217342.1143,15719456.61,111059377.1,132027869.9
1674048.867,3382777.133,218411.8,15797875.27,111613378.4,132686491.5
1682388.895,3399568.962,219481.4857,15876293.92,112167379.7,133345113
1690728.924,3416360.79,220551.1714,15954712.58,112721381.1,134003734.6
1699068.952,3433152.619,221620.8571,16033131.24,113275382.4,134662356.1
1707408.981,3449944.448,222690.5429,16111549.9,113829383.8,135320977.6
1715749.01,3466736.276,223760.2286,16189968.55,114383385.1,135979599.2
1724089.038,3483528.105,224829.9143,16268387.21,114937386.5,136638220.7
1732429.067,3500319.933,225899.6,16346805.87,115491387.8,137296842.3
1740769.095,3517111.762,226969.2857,16425224.52,116045389.1,137955463.8
1749109.124,3533903.59,228038.9714,16503643.18,116599390.5,138614085.4
1757449.152,3550695.419,229108.6571,16582061.84,117153391.8,139272706.9
1765789.181,3567487.248,230178.3429,16660480.5,117707393.2,139931328.4
1774129.21,3584279.076,231248.0286,16738899.15,118261394.5,140589950
1782469.238,3601070.905,232317.7143,16817317.81,118815395.9,141248571.5
1790809.267,3617862.733,233387.4,16895736.47,119369397.2,141907193.1
1799149.295,3634654.562,234457.0857,16974155.12,119923398.5,142565814.6
1807489.324,3651446.39,235526.7714,17052573.78,120477399.9,143224436.2
1815829.352,3668238.219,236596.4571,17130992.44,121031401.2,143883057.7
1824169.381,3685030.048,237666.1429,17209411.1,121585402.6,144541679.2
1832509.41,3701821.876,238735.8286,17287829.75,122139403.9,145200300.8
1840849.438,3718613.705,239805.5143,17366248.41,122693405.3,145858922.3
1849189.467,3735405.533,240875.2,17444667.07,123247406.6,146517543.9
1857529.495,3752197.362,241944.8857,17523085.72,123801407.9,147176165.4
1865869.524,3768989.19,243014.5714,17601504.38,124355409.3,147834787
1874209.552,3785781.019,244084.2571,17679923.04,124909410.6,148493408.5
1882549.581,3802572.848,245153.9429,17758341.7,125463412,149152030
1890889.61,3819364.676,246223.6286,17836760.35,126017413.3,149810651.6
1899229.638,3836156.505,247293.3143,17915179.01,126571414.7,150469273.1
1907569.667,3852948.333,248363,17993597.67,127125416,151127894.7
1915909.695,3869740.162,249432.6857,18072016.32,127679417.3,151786516.2
1924249.724,3886531.99,250502.3714,18150434.98,128233418.7,152445137.8
1932589.752,3903323.819,251572.0571,18228853.64,128787420,153103759.3
1940929.781,3920115.648,252641.7429,18307272.3,129341421.4,153762380.8
1949269.81,3936907.476,253711.4286,18385690.95,129895422.7,154421002.4
1957609.838,3953699.305,254781.1143,18464109.61,130449424.1,155079623.9
1965949.867,3970491.133,255850.8,18542528.27,131003425.4,155738245.5
1974289.895,3987282.962,256920.4857,18620946.92,131557426.7,156396867
1982629.924,4004074.79,257990.1714,18699365.58,132111428.1,157055488.6
1990969.952,4020866.619,259059.8571,18777784.24,132665429.4,157714110.1
1999309.981,4037658.448,260129.5429,18856202.9,133219430.8,158372731.6
2007650.01,4054450.276,261199.2286,18934621.55,133773432.1,159031353.2
2015990.038,4071242.105,262268.9143,19013040.21,134327433.5,159689974.7
2024330.067,4088033.933,263338.6,19091458.87,134881434.8,160348596.3
2032670.095,4104825.762,264408.2857,19169877.52,135435436.1,161007217.8
2041010.124,4121617.59,265477.9714,19248296.18,135989437.5,161665839.4
2049350.152,4138409.419,266547.6571,19326714.84,136543438.8,162324460.9
2057690.181,4155201.248,267617.3429,19405133.5,137097440.2,162983082.4
2066030.21,4171993.076,268687.0286,19483552.15,137651441.5,163641704
2074370.238,4188784.905,269756.7143,19561970.81,138205442.9,164300325.5
2082710.267,4205576.733,270826.4,19640389.47,138759444.2,164958947.1
2091050.295,4222368.562,271896.0857,19718808.12,139313445.5,165617568.6
2099390.324,4239160.39,272965.7714,19797226.78,139867446.9,166276190.2
2107730.352,4255952.219,274035.4571,19875645.44,140421448.2,166934811.7
2116070.381,4272744.048,275105.1429,19954064.1,140975449.6,167593433.2
2124410.41,4289535.876,276174.8286,20032482.75,141529450.9,168252054.8
2132750.438,4306327.705,277244.5143,20110901.41,142083452.3,168910676.3
2141090.467,4323119.533,278314.2,20189320.07,142637453.6,169569297.9
2149430.495,4339911.362,279383.8857,20267738.72,143191454.9,170227919.4
2157770.524,4356703.19,280453.5714,20346157.38,143745456.3,170886541
2166110.552,4373495.019,281523.2571,20424576.04,144299457.6,171545162.5
2174450.581,4390286.848,282592.9429,20502994.7,144853459,172203784
2182790.61,4407078.676,283662.6286,20581413.35,145407460.3,172862405.6
2191130.638,4423870.505,284732.3143,20659832.01,145961461.7,173521027.1
2199470.667,4440662.333,285802,20738250.67,146515463,174179648.7
2207810.695,4457454.162,286871.6857,20816669.32,147069464.3,174838270.2
2216150.724,4474245.99,287941.3714,20895087.98,147623465.7,175496891.8
2224490.752,4491037.819,289011.0571,20973506.64,148177467,176155513.3
2232830.781,4507829.648,290080.7429,21051925.3,148731468.4,176814134.8
2241170.81,4524621.476,291150.4286,21130343.95,149285469.7,177472756.4
2249510.838,4541413.305,292220.1143,21208762.61,149839471.1,178131377.9
2257850.867,4558205.133,293289.8,21287181.27,150393472.4,178789999.5
2266190.895,4574996.962,294359.4857,21365599.92,150947473.7,179448621
2274530.924,4591788.79,295429.1714,21444018.58,151501475.1,180107242.6
2282870.952,4608580.619,296498.8571,21522437.24,152055476.4,180765864.1
2291210.981,4625372.448,297568.5429,21600855.9,152609477.8,181424485.6
2299551.01,4642164.276,298638.2286,21679274.55,153163479.1,182083107.2
2307891.038,4658956.105,299707.9143,21757693.21,153717480.5,182741728.7
2316231.067,4675747.933,300777.6,21836111.87,154271481.8,183400350.3
2324571.095,4692539.762,301847.2857,21914530.52,154825483.1,184058971.8
2332911.124,4709331.59,302916.9714,21992949.18,155379484.5,184717593.4
2341251.152,4726123.419,303986.6571,22071367.84,155933485.8,185376214.9
2349591.181,4742915.248,305056.3429,22149786.5,156487487.2,186034836.4
2357931.21,4759707.076,306126.0286,22228205.15,157041488.5,186693458
2366271.238,4776498.905,307195.7143,22306623.81,157595489.9,187352079.5
2374611.267,4793290.733,308265.4,22385042.47,158149491.2,188010701.1
2382951.295,4810082.562,309335.0857,22463461.12,158703492.5,188669322.6
2391291.324,4826874.39,310404.7714,22541879.78,159257493.9,189327944.2
2399631.352,4843666.219,311474.4571,22620298.44,159811495.2,189986565.7
2407971.381,4860458.048,312544.1429,22698717.1,160365496.6,190645187.2
2416311.41,4877249.876,313613.8286,22777135.75,160919497.9,191303808.8
2424651.438,4894041.705,314683.5143,22855554.41,161473499.3,191962430.3
2432991.467,4910833.533,315753.2,22933973.07,162027500.6,192621051.9
2441331.495,4927625.362,316822.8857,23012391.72,162581501.9,193279673.4
2449671.524,4944417.19,317892.5714,23090810.38,163135503.3,193938295
2458011.552,4961209.019,318962.2571,23169229.04,163689504.6,194596916.5
2466351.581,4978000.848,320031.9429,23247647.7,164243506,195255538
2474691.61,4994792.676,321101.6286,23326066.35,164797507.3,195914159.6
2483031.638,5011584.505,322171.3143,23404485.01,165351508.7,196572781.1
2491371.667,5028376.333,323241,23482903.67,165905510,197231402.7
2499711.695,5045168.162,324310.6857,23561322.32,166459511.3,197890024.2
2508051.724,5061959.99,325380.3714,23639740.98,167013512.7,198548645.8
2516391.752,5078751.819,326450.0571,23718159.64,167567514,199207267.3
2524731.781,5095543.648,327519.7429,23796578.3,168121515.4,199865888.8
2533071.81,5112335.476,328589.4286,23874996.95,168675516.7,200524510.4
2541411.838,5129127.305,329659.1143,23953415.61,169229518.1,201183131.9
2549751.867,5145919.133,330728.8,24031834.27,169783519.4,201841753.5
2558091.895,5162710.962,331798.4857,24110252.92,170337520.7,202500375
2566431.924,5179502.79,332868.1714,24188671.58,170891522.1,203158996.6
2574771.952,5196294.619,333937.8571,24267090.24,171445523.4,203817618.1
2583111.981,5213086.448,335007.5429,24345508.9,171999524.8,204476239.6
2591452.01,5229878.276,336077.2286,24423927.55,172553526.1,205134861.2
2599792.038,5246670.105,337146.9143,24502346.21,173107527.5,205793482.7
2608132.067,5263461.933,338216.6,24580764.87,173661528.8,206452104.3
2616472.095,5280253.762,339286.2857,24659183.52,174215530.1,207110725.8
2624812.124,5297045.59,340355.9714,24737602.18,174769531.5,207769347.4
2633152.152,5313837.419,341425.6571,24816020.84,175323532.8,208427968.9
2641492.181,5330629.248,342495.3429,24894439.5,175877534.2,209086590.4
2649832.21,5347421.076,343565.0286,24972858.15,176431535.5,209745212
2658172.238,5364212.905,344634.7143,25051276.81,176985536.9,210403833.5
2666512.267,5381004.733,345704.4,25129695.47,177539538.2,211062455.1
2674852.295,5397796.562,346774.0857,25208114.12,178093539.5,211721076.6
2683192.324,5414588.39,347843.7714,25286532.78,178647540.9,212379698.2
2691532.352,5431380.219,348913.4571,25364951.44,179201542.2,213038319.7
2699872.381,5448172.048,349983.1429,25443370.1,179755543.6,213696941.2
2708212.41,5464963.876,351052.8286,25521788.75,180309544.9,214355562.8
2716552.438,5481755.705,352122.5143,25600207.41,180863546.3,215014184.3
2724892.467,5498547.533,353192.2,25678626.07,181417547.6,215672805.9
2733232.495,5515339.362,354261.8857,25757044.72,181971548.9,216331427.4
2741572.524,5532131.19,355331.5714,25835463.38,182525550.3,216990049
2749912.552,5548923.019,356401.2571,25913882.04,183079551.6,217648670.5
2758252.581,5565714.848,357470.9429,25992300.7,183633553,218307292
2766592.61,5582506.676,358540.6286,26070719.35,184187554.3,218965913.6
2774932.638,5599298.505,359610.3143,26149138.01,184741555.7,219624535.1
2783272.667,5616090.333,360680,26227556.67,185295557,220283156.7
2791612.695,5632882.162,361749.6857,26305975.32,185849558.3,220941778.2
2799952.724,5649673.99,362819.3714,26384393.98,186403559.7,221600399.8
2808292.752,5666465.819,363889.0571,26462812.64,186957561,222259021.3
2816632.781,5683257.648,364958.7429,26541231.3,187511562.4,222917642.8
2824972.81,5700049.476,366028.4286,26619649.95,188065563.7,223576264.4
2833312.838,5716841.305,367098.1143,26698068.61,188619565.1,224234885.9
2841652.867,5733633.133,368167.8,26776487.27,189173566.4,224893507.5
2849992.895,5750424.962,369237.4857,26854905.92,189727567.7,225552129
2858332.924,5767216.79,370307.1714,26933324.58,190281569.1,226210750.6
2866672.952,5784008.619,371376.8571,27011743.24,190835570.4,226869372.1
2875012.981,5800800.448,372446.5429,27090161.9,191389571.8,227527993.6
2883353.01,5817592.276,373516.2286,27168580.55,191943573.1,228186615.2
2891693.038,5834384.105,374585.9143,27246999.21,192497574.5,228845236.7
2900033.067,5851175.933,375655.6,27325417.87,193051575.8,229503858.3
2908373.095,5867967.762,376725.2857,27403836.52,193605577.1,230162479.8
2916713.124,5884759.59,377794.9714,27482255.18,194159578.5,230821101.4
2925053.152,5901551.419,378864.6571,27560673.84,194713579.8,231479722.9
2933393.181,5918343.248,379934.3429,27639092.5,195267581.2,232138344.4
2941733.21,5935135.076,381004.0286,27717511.15,195821582.5,232796966
2950073.238,5951926.905,382073.7143,27795929.81,196375583.9,233455587.5
2958413.267,5968718.733,383143.4,27874348.47,196929585.2,234114209.1
2966753.295,5985510.562,384213.0857,27952767.12,197483586.5,234772830.6
2975093.324,6002302.39,385282.7714,28031185.78,198037587.9,235431452.2
2983433.352,6019094.219,386352.4571,28109604.44,198591589.2,236090073.7
2991773.381,6035886.048,387422.1429,28188023.1,199145590.6,236748695.2
3000113.41,6052677.876,388491.8286,28266441.75,199699591.9,237407316.8
3008453.438,6069469.705,389561.5143,28344860.41,200253593.3,238065938.3
3016793.467,6086261.533,390631.2,28423279.07,200807594.6,238724559.9
3025133.495,6103053.362,391700.8857,28501697.72,201361595.9,239383181.4
3033473.524,6119845.19,392770.5714,28580116.38,201915597.3,240041803
3041813.552,6136637.019,393840.2571,28658535.04,202469598.6,240700424.5
3050153.581,6153428.848,394909.9429,28736953.7,203023600,241359046
3058493.61,6170220.676,395979.6286,28815372.35,203577601.3,242017667.6
3066833.638,6187012.505,397049.3143,28893791.01,204131602.7,242676289.1
3075173.667,6203804.333,398119,28972209.67,204685604,243334910.7
3083513.695,6220596.162,399188.6857,29050628.32,205239605.3,243993532.2
3091853.724,6237387.99,400258.3714,29129046.98,205793606.7,244652153.8
3100193.752,6254179.819,401328.0571,29207465.64,206347608,245310775.3
3108533.781,6270971.648,402397.7429,29285884.3,206901609.4,245969396.8
3116873.81,6287763.476,403467.4286,29364302.95,207455610.7,246628018.4
3125213.838,6304555.305,404537.1143,29442721.61,208009612.1,247286639.9
3133553.867,6321347.133,405606.8,29521140.27,208563613.4,247945261.5
3141893.895,6338138.962,406676.4857,29599558.92,209117614.7,248603883
3150233.924,6354930.79,407746.1714,29677977.58,209671616.1,249262504.6
3158573.952,6371722.619,408815.8571,29756396.24,210225617.4,249921126.1
3166913.981,6388514.448,409885.5429,29834814.9,210779618.8,250579747.6
3175254.01,6405306.276,410955.2286,29913233.55,211333620.1,251238369.2
3183594.038,6422098.105,412024.9143,29991652.21,211887621.5,251896990.7
3191934.067,6438889.933,413094.6,30070070.87,212441622.8,252555612.3
3200274.095,6455681.762,414164.2857,30148489.52,212995624.1,253214233.8
3208614.124,6472473.59,415233.9714,30226908.18,213549625.5,253872855.4
3216954.152,6489265.419,416303.6571,30305326.84,214103626.8,254531476.9
3225294.181,6506057.248,417373.3429,30383745.5,214657628.2,255190098.4
3233634.21,6522849.076,418443.0286,30462164.15,215211629.5,255848720
3241974.238,6539640.905,419512.7143,30540582.81,215765630.9,256507341.5
3250314.267,6556432.733,420582.4,30619001.47,216319632.2,257165963.1
3258654.295,6573224.562,421652.0857,30697420.12,216873633.5,257824584.6
3266994.324,6590016.39,422721.7714,30775838.78,217427634.9,258483206.2
3275334.352,6606808.219,423791.4571,30854257.44,217981636.2,259141827.7
3283674.381,6623600.048,424861.1429,30932676.1,218535637.6,259800449.2
3292014.41,6640391.876,425930.8286,31011094.75,219089638.9,260459070.8
3300354.438,6657183.705,427000.5143,31089513.41,219643640.3,261117692.3
